vessel name,country,vessel_code,is_ulysses,account_type,gl_account,account_type,account_category,pl_mapping_1,pnl_contribution_daily_usd_rounded,Business Date Local,order_account_full_code
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,511005,,,L1 Expenses,163.5896667,6/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-07-511005
Kimmy’s,GB,LDN-297-01,TRUE,REEF UK,511005,,,L1 Expenses,25.23466667,6/1/2024,GB-M25861-GB-XX-RE-1785134-KI-1002204-GB11-D00019-07-511005
Eleanor,US,MIA-009-07,TRUE,Kitchens (US),515030,,,L1 Expenses,2.119333333,6/1/2024,MIA-009-EK07-US23-515030-11
,US,MIA-900-06,FALSE,Kitchens (US),520040,,,L2 Expenses,30.78633333,6/1/2024,MIA-900-PK06-US23-520040-12
,US,MIA-900-06,FALSE,Kitchens (US),520040,,,L2 Expenses,25.59066667,6/1/2024,MIA-900-PK06-US23-520040-12
,US,MIA-900-06,FALSE,Kitchens (US),520040,,,L2 Expenses,30.78633333,6/1/2024,MIA-900-PK06-US23-520040-12
La Perla,US,MIA-007-02,TRUE,Kitchens (US),515030,,,L1 Expenses,2.096666667,6/1/2024,MIA-007-EK02-US23-515030-11
,US,MIA-900-06,FALSE,Kitchens (US),520040,,,L2 Expenses,30.78633333,6/1/2024,MIA-900-PK06-US23-520040-12
,GB,LDN-304-01,FALSE,REEF UK,509005,,,L1 Expenses,105.3756667,6/1/2024,GB-M25861-GB-XX-RE-2162270-LDN-304-01-GB11-D00012-01-509005
,US,MIA-037-04,FALSE,Kitchens (US),515030,,,L1 Expenses,1.756666667,6/1/2024,MIA-037-EK04-US23-515030-11
,US,MIA-009-08,FALSE,Kitchens (US),515030,,,L1 Expenses,0.646,6/1/2024,MIA-009-EK08-US23-515030-11
Stacey,US,MIA-049-01,TRUE,Kitchens (US),515030,,,L1 Expenses,1.892666667,6/1/2024,MIA-049-EK01-US23-515030-11
NLAA,US,MIA-028-01,TRUE,Kitchens (US),515030,,,L1 Expenses,1.382666667,6/1/2024,MIA-028-EK01-US23-515030-11
Eleanor,US,MIA-009-07,TRUE,Kitchens (US),515030,,,L1 Expenses,3.751333333,6/1/2024,MIA-009-EK07-US23-515030-11
La Perla,US,MIA-007-02,TRUE,Kitchens (US),515030,,,L1 Expenses,1.326,6/1/2024,MIA-007-EK02-US23-515030-11
PNK International,GB,BIR-002-01,TRUE,REEF UK,511005,,,L1 Expenses,69.21433333,6/1/2024,GB-M25876-GB-XX-RE-1529223-KI-1001061-GB11-D00019-07-511005
PNK International,GB,BIR-002-01,TRUE,REEF UK,511005,,,L1 Expenses,85.56433333,6/1/2024,GB-M25876-GB-XX-RE-1529223-KI-1001061-GB11-D00019-07-511005
,GB,LDN-261-02,FALSE,REEF UK,511005,,,L1 Expenses,31.59366667,6/1/2024,GB-M25861-GB-XX-RE-1552193-LDN-261-02-GB11-D00019-07-511005
,GB,LDN-202-01,FALSE,REEF UK,502030,,,L1 Expenses,7.407666667,6/1/2024,GB-M25861-GB-XX-RE-1524299-KI-1002145-GB11-D00019-03-502030
,GB,FC-1001219,FALSE,REEF UK,610005,,,L4 Expenses,518.203,6/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001219-GB12-D00015-03-610005
